COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
system_se  2018     system   88       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases/settings.db-shm
system_se  2018     system   89       ???                ???       ???        ??? socket:[3114]
system_se  2018     system   90       ???                ???       ???        ??? pipe:[3115]
system_se  2018     system   91       ???                ???       ???        ??? pipe:[3115]
system_se  2018     system   92       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system   93       ???                ???       ???        ??? pipe:[3116]
system_se  2018     system   94       ???                ???       ???        ??? pipe:[3116]
system_se  2018     system   95       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system   96       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system   97       ???                ???       ???        ??? /sys/power/wake_lock
system_se  2018     system   98       ???                ???       ???        ??? /sys/power/wake_unlock
system_se  2018     system   99       ???                ???       ???        ??? /sys/power/state
system_se  2018     system  100       ???                ???       ???        ??? /dev/alarm
system_se  2018     system  101       ???                ???       ???        ??? pipe:[1579]
system_se  2018     system  102       ???                ???       ???        ??? pipe:[1579]
system_se  2018     system  103       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  104       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  105       ???                ???       ???        ??? anon_inode:inotify
system_se  2018     system  106       ???                ???       ???        ??? pipe:[1580]
system_se  2018     system  107       ???                ???       ???        ??? pipe:[1580]
system_se  2018     system  108       ???                ???       ???        ??? pipe:[1581]
system_se  2018     system  109       ???                ???       ???        ??? pipe:[1581]
system_se  2018     system  110       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  111       ???                ???       ???        ??? pipe:[3118]
system_se  2018     system  112       ???                ???       ???        ??? pipe:[3118]
system_se  2018     system  113       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  114       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  115       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  116       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  117       ???                ???       ???        ??? pipe:[3132]
system_se  2018     system  118       ???                ???       ???        ??? socket:[1582]
system_se  2018     system  119       ???                ???       ???        ??? pipe:[1584]
system_se  2018     system  120       ???                ???       ???        ??? pipe:[1584]
system_se  2018     system  121       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  122       ???                ???       ???        ??? pipe:[1585]
system_se  2018     system  123       ???                ???       ???        ??? pipe:[1585]
system_se  2018     system  124       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  125       ???                ???       ???        ??? /dev/input/event7
system_se  2018     system  126       ???                ???       ???        ??? pipe:[1586]
system_se  2018     system  127       ???                ???       ???        ??? pipe:[1586]
system_se  2018     system  128       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  129       ???                ???       ???        ??? pipe:[1587]
system_se  2018     system  130       ???                ???       ???        ??? pipe:[1587]
system_se  2018     system  131       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  132       ???                ???       ???        ??? /dev/input/event3
system_se  2018     system  133       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  134       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  135       ???                ???       ???        ??? /dev/input/event2
system_se  2018     system  136       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  137       ???                ???       ???        ??? /dev/input/event1
system_se  2018     system  138       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  139       ???                ???       ???        ??? /dev/input/event0
system_se  2018     system  140       ???                ???       ???        ??? pipe:[3132]
system_se  2018     system  141       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  142       ???                ???       ???        ??? socket:[1593]
system_se  2018     system  143       ???                ???       ???        ??? pipe:[3135]
system_se  2018     system  144       ???                ???       ???        ??? pipe:[3135]
system_se  2018     system  145       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  146       ???                ???       ???        ??? pipe:[3136]
system_se  2018     system  147       ???                ???       ???        ??? pipe:[3136]
system_se  2018     system  148       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  149       ???                ???       ???        ??? pipe:[3137]
system_se  2018     system  150       ???                ???       ???        ??? pipe:[3137]
system_se  2018     system  151       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  152       ???                ???       ???        ??? pipe:[3138]
system_se  2018     system  153       ???                ???       ???        ??? pipe:[3138]
system_se  2018     system  154       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  155       ???                ???       ???        ??? pipe:[1600]
system_se  2018     system  156       ???                ???       ???        ??? pipe:[1600]
system_se  2018     system  157       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  158       ???                ???       ???        ??? /data/data/com.android.providers.settings/databases/settings.db-wal
system_se  2018     system  159       ???                ???       ???        ??? pipe:[1625]
system_se  2018     system  160       ???                ???       ???        ??? pipe:[1627]
system_se  2018     system  161       ???                ???       ???        ??? pipe:[1627]
system_se  2018     system  162       ???                ???       ???        ??? pipe:[1625]
system_se  2018     system  163       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  164       ???                ???       ???        ??? pipe:[3151]
system_se  2018     system  165       ???                ???       ???        ??? pipe:[3151]
system_se  2018     system  166       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  167       ???                ???       ???        ??? pipe:[3152]
system_se  2018     system  168       ???                ???       ???        ??? pipe:[3152]
system_se  2018     system  169       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  170       ???                ???       ???        ??? socket:[3153]
